"sample"	"assay"	"mouse_id"	"tissue"	"timepoint"	"project"	"batch"	"treatment"	"genotype"	"sex"	"sample_date"	"dob"	"dod"	"sample_weeks"	"age_at_end"	"age_at_start"	"age_at_sample"	"samtools.flagstat_total"	"samtools.mapped_passed"	"biotype_counts.percent_rRNA"	"dupradar.dupRadar_intercept"	"picard.PERCENT_DUPLICATION"	"qualimap.5_3_bias"	"qualimap.reads_aligned"	"rseqc.proper_pairs_percent"	"salmon.percent_mapped"	"salmon.num_mapped"	"samtools.error_rate"	"samtools.non_primary_alignments"	"samtools.reads_mapped"	"samtools.reads_properly_paired_percent"	"samtools.reads_MQ0_percent"	"samtools.raw_total_sequences"	"star.uniquely_mapped_percent"	"star.uniquely_mapped"	"fastqc_raw.percent_duplicates"	"fastqc_raw.percent_gc"	"fastqc_raw.percent_fails"	"fastqc_raw.total_sequences"	"fastqc_trimmed.percent_duplicates"	"fastqc_trimmed.percent_gc"	"fastqc_trimmed.avg_sequence_length"	"fastqc_trimmed.percent_fails"	"fastqc_trimmed.total_sequences"	"myeloid"	"CML_space"	"myeloid_class"	"state_class"	"time_class"	"Group"	"HSA_ABL1_gene"	"HSA_BCR_ABL1_gene"	"HSA_BCR_gene"	"HSA_MYH11_gene"	"state_chr"	"myeloid_chr"	"old.state_class"	"rx_class"	"group_name"	"state_rx"	"old.CML_space"	"old.state_chr"	"old.state_rx"
"COHP_44942"	"mRNA"	"480"	"PBMC"	"2"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-08	2020-09-12	2021-03-30	2	28.4	10.4	12.4	91565234	91565234	0.11560768543366	0.0685635902477159	0.303368	1.05	35331207	51.6378235870614	61.1185783695893	25841015	0.003704023	20529571	71035663	99.4745611088335	1.48582832259903	71035663	73.06	30889242	51.8504979659452	51	22.7272727272727	43794900	51.3281546558848	51	98.2046584718482	18.1818181818182	42280131	48.1	-128.3450228751	1	2	1	"B"	0.430299	1.453523	0.154966	0	"c2"	"c2"	1	NA	"CML"	"c2"	-128.3450228751	"c2"	"c2"
"COHP_44943"	"mRNA"	"480"	"PBMC"	"3"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-15	2020-09-12	2021-03-30	3	28.4	10.4	13.4	121631760	121631760	0.252416619864504	0.0718882143982602	0.413951	1.1	36463708	33.4809625380739	62.059568137267	27946661	0.003809775	48303408	73328352	99.4532319504467	4.55776095990811	73328352	62.65	28214678	58.5379437457441	53	22.7272727272727	46002567	58.1061852952674	53	97.2406826355502	18.1818181818182	45031994	33.8	-46.8627966670773	0	2	1	"B"	0.873972	0.367892	0.416323	0.003507	"c2"	"c1"	1	NA	"CML"	"c2"	-46.8627966670769	"c2"	"c2"
"COHP_44944"	"mRNA"	"480"	"PBMC"	"4"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-22	2020-09-12	2021-03-30	4	28.4	10.4	14.4	100614624	100614624	0.28022619348085	0.0959188301278629	0.337488	1.12	38426036	48.5493222138364	58.8680560724425	26028521	0.003698548	23500758	77113866	99.6605098232269	1.60852135204841	77113866	74.87	33105387	52.1791943012695	50.5	9.09090909090909	44871448	51.9172536787208	50.5	98.2842542387804	9.09090909090909	44215017	31.7	-50.3369700743409	0	2	1	"B"	1.245521	0.930028	0.597472	0	"c2"	"c1"	1	NA	"CML"	"c2"	-50.3369700743409	"c2"	"c2"
"COHP_44945"	"mRNA"	"480"	"PBMC"	"5"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-29	2020-09-12	2021-03-30	5	28.4	10.4	15.4	116435070	116435070	0.305554862064661	0.0818642038540456	0.363966	1.06	41246281	43.1858562888312	58.2238877207487	29206475	0.004023408	33542918	82892152	99.5179398889294	2.56700899742596	82892152	69.05	34639535	55.1673723088131	53	18.1818181818182	51184960	54.8591259433532	52.5	97.7875427825781	13.6363636363636	50162358	34.6	-94.7743675392617	0	2	1	"B"	1.716007	1.19714	0.745302	0	"c2"	"c1"	1	NA	"CML"	"c2"	-94.7743675392614	"c2"	"c2"
"COHP_44946"	"mRNA"	"480"	"PBMC"	"6"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-01-05	2020-09-12	2021-03-30	6	28.4	10.4	16.4	99496377	99496377	0.192968829864675	0.0541648936879397	0.400153	1.08	29386541	33.605706065056	68.9323544632519	24193327	0.003590059	40526733	58969644	99.666672568008	4.70198870456128	58969644	63.99	22456970	60.1409493450783	53.5	18.1818181818182	35975533	59.7451431768905	53.5	98.1090173544038	18.1818181818182	35097201	42.6	-113.57740279221	1	2	1	"B"	3.112971	5.188656	1.493186	0	"c2"	"c2"	1	NA	"CML"	"c2"	-113.577402792209	"c2"	"c2"
"COHP_44947"	"mRNA"	"480"	"PBMC"	"7"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-01-12	2020-09-12	2021-03-30	7	28.4	10.4	17.4	102555997	102555997	0.46771123629764	0.0569180313248204	0.40086	1.05	31593760	35.1260336340936	68.3861776879692	26266527	0.003643765	39050380	63505617	99.4991041501101	4.08896901198519	63505617	63.68	24457354	59.5192011131327	53	22.7272727272727	39250747	59.2560846829919	52.5	97.8239354474095	22.7272727272727	38409117	39.9	-122.919250769094	1	2	1	"B"	6.617201	8.654403	3.006224	0	"c2"	"c2"	1	NA	"CML"	"c2"	-122.919250769094	"c2"	"c2"
"COHP_44948"	"mRNA"	"480"	"PBMC"	"8"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-01-19	2020-09-12	2021-03-30	8	28.4	10.4	18.4	87334491	87334491	0.204637973499382	0.0676110663361304	0.418346	1.06	29132614	36.8125967551583	65.147317293539	25242418	0.003930907	28720825	58613666	99.4055345386518	2.9534494566506	58613666	59.51	23059161	62.9321518117188	54.5	18.1818181818182	39673361	62.7878320527863	54.5	97.8029341770841	18.1818181818182	38746673	42.9	-138.444348156869	1	2	1	"B"	8.616083	9.633098	4.060759	0	"c2"	"c2"	1	NA	"CML"	"c2"	-138.444348156869	"c2"	"c2"
"COHP_44949"	"mRNA"	"480"	"PBMC"	"9"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-01-26	2020-09-12	2021-03-30	9	28.4	10.4	19.4	89251765	89251765	0.111490279224485	0.0603317319547534	0.284342	1.05	36712163	56.5762413774114	59.4436338823387	25410624	0.003641627	15625103	73626662	99.7251865092023	0.93555103720443	73626662	76.85	32852438	51.7698721600875	51	9.09090909090909	43508964	51.2688525007406	51	98.2713479106006	9.09090909090909	42747427	39.1	-140.697596237564	1	2	1	"B"	13.632394	13.507033	6.19324	0	"c2"	"c2"	1	NA	"CML"	"c2"	-140.697596237565	"c2"	"c2"
"COHP_44950"	"mRNA"	"480"	"PBMC"	"10"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-02-02	2020-09-12	2021-03-30	10	28.4	10.4	20.4	116479676	116479676	0.170527091069822	0.0847555589556329	0.44676	1.04	34775701	31.3372471949527	72.8038746983741	29862472	0.003441128	46649627	69830049	99.6009640491588	4.73066544747806	69830049	64.14	26307259	63.9435088655617	53	18.1818181818182	41681466	63.6847440274666	52.5	97.9912571149779	18.1818181818182	41017696	42.5	-158.607830613421	1	3	1	"B"	12.741833	12.361609	5.873582	0	"c3"	"c2"	1	NA	"CML"	"c3"	-158.607830613421	"c2"	"c2"
"COHP_44951"	"mRNA"	"480"	"PBMC"	"11"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-02-09	2020-09-12	2021-03-30	11	28.4	10.4	21.4	121887335	121887335	0.243812146213551	0.0758204682468824	0.450314	1.08	37341886	31.9316293198141	71.0368466850087	30542153	0.003700108	47059822	74827513	99.807903544783	4.30886430770457	74827513	65.52	28168779	65.3315555513454	54	13.6363636363636	43468272	64.6548514402255	54	97.6677346174203	13.6363636363636	42994804	50.3	-161.193229006201	1	3	1	"B"	14.601637	24.2566	6.867666	0	"c3"	"c2"	1	NA	"CML"	"c3"	-161.193229006201	"c2"	"c2"
"COHP_44952"	"mRNA"	"480"	"PBMC"	"12"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-02-16	2020-09-12	2021-03-30	12	28.4	10.4	22.4	147905807	147905807	0.448177505449376	0.0691221190146076	0.57096	1.05	36726917	19.8739918304898	70.1009966940616	34076377	0.002979323	74324397	73581410	99.8266192507048	7.40230174985774	73581410	46.48	22594030	75.4514775435811	57.5	27.2727272727273	49435962	75.3182875834685	58.5	97.979106571077	27.2727272727273	48610403	48.2	-208.556978817507	1	3	1	"B"	4.602832	7.454157	2.132732	0	"c3"	"c2"	1	NA	"CML"	"c3"	-208.556978817508	"c2"	"c2"
"COHP_44953"	"mRNA"	"480"	"PBMC"	"13"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-02-23	2020-09-12	2021-03-30	13	28.4	10.4	23.4	143539576	143539576	0.228263609181497	0.0755163412331322	0.495216	1.03	41298854	27.4726337494546	77.9154953579707	37783657	0.003355686	60757418	82782158	99.7771862869291	5.41840791345401	82782158	62.21	30168502	70.6958601819288	54	13.6363636363636	49123075	70.3043953800936	54.5	98.1506010862612	18.1818181818182	48493123	50	-209.956391300682	1	3	1	"B"	26.869646	24.711301	12.419801	0	"c3"	"c2"	1	NA	"CML"	"c3"	-209.956391300682	"c2"	"c2"
"COHP_44954"	"mRNA"	"480"	"PBMC"	"14"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-03-02	2020-09-12	2021-03-30	14	28.4	10.4	24.4	139776717	139776717	0.114360991308675	0.0789606536338201	0.548264	1.06	39239051	23.8843454879542	82.6182683581327	37277095	0.003120819	61034279	78742438	99.6643030026578	5.18941387108182	78742438	58.15	26236727	73.7480395595676	54	22.7272727272727	45969281	73.4558184910376	54	97.8466656985746	22.7272727272727	45119676	57.9	-226.477164949386	1	3	1	"B"	19.584602	15.575913	9.159301	0	"c3"	"c2"	1	NA	"CML"	"c3"	-226.477164949386	"c2"	"c2"
"COHP_44955"	"mRNA"	"480"	"PBMC"	"15"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-03-09	2020-09-12	2021-03-30	15	28.4	10.4	25.4	127950530	127950530	0.216436789623523	0.0690428029396485	0.4145	1.06	44390546	38.6821422310638	72.5399703817428	37451147	0.003536909	38997706	88952824	99.8069403620058	2.53447377904495	88952824	68.87	35558681	66.3773447516576	54	9.09090909090909	52092250	65.5968409355687	54	97.7239003127181	9.09090909090909	51628291	70.9	-276.995271586979	2	3	2	"B"	26.157401	29.844325	12.206279	0	"c3"	"c3"	2	NA	"CML"	"c3"	-276.995271586978	"c3"	"c3"
"COHP_44956"	"mRNA"	"480"	"PBMC"	"16"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-03-16	2020-09-12	2021-03-30	16	28.4	10.4	26.4	93905887	93905887	1.14796084082447	0.20384558062685	0.538947	1.13	35333702	32.963743795956	62.2391187608868	27276305	0.004961955	23039035	70866852	99.7185595318951	1.31135216786545	70866852	66.6	29188199	70.9740755508093	57.5	13.6363636363636	44334298	71.0515942349924	57.5	98.8836249422647	18.1818181818182	43825018	72.1	-289.521362135361	2	3	2	"B"	31.80883	27.431863	14.176481	0	"c3"	"c3"	2	NA	"CML"	"c3"	-289.52136213536	"c3"	"c3"
"COHP_44957"	"mRNA"	"480"	"PBMC"	"17"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-03-23	2020-09-12	2021-03-30	17	28.4	10.4	27.4	109823449	109823449	1.07677105550099	0.0860168046713178	0.479536	1.09	36379048	32.6686462014137	71.3721053180634	32080386	0.003842149	36907649	72915800	99.7837176579013	2.71957518123644	72915800	61.58	27678674	71.0187336331539	56.5	22.7272727272727	45433465	70.6245260125537	56.5	98.2329721676834	22.7272727272727	44948073	75.7	-313.730845872038	2	3	2	"B"	30.506404	26.164286	16.264615	0	"c3"	"c3"	2	NA	"CML"	"c3"	-313.730845872037	"c3"	"c3"
"COHP_44958"	"mRNA"	"480"	"PBMC"	"18"	"CML.mRNA.2021"	"2021_E"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-03-30	2020-09-12	2021-03-30	18	28.4	10.4	28.4	87874775	87874775	0.278576344431419	0.0623192226982515	0.331806	1.07	35950428	52.4273069262482	63.4743766636102	27286737	0.00417917	15803075	72071700	99.7629527262434	1.00855398165993	72071700	74.24	31913815	58.6996488553006	53.5	13.6363636363636	43407956	58.1954499067529	53.5	98.1448385857585	13.6363636363636	42988586	72.5	-308.937293631142	2	3	2	"B"	38.49854	49.698313	18.615766	0	"c3"	"c3"	2	NA	"CML"	"c3"	-308.937293631142	"c3"	"c3"
"COHP_46927"	"mRNA"	"484"	"PBMC"	"0"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-11-24	2020-09-12	2021-02-10	0	21.4	10.4	10.4	135205113	135205113	0.113841743402121	0.0965359254835454	0.27735	1.06	57559691	59.5267739615735	51.3254784521477	30953968	0.002083007	20029975	115175138	99.9515902468465	0.776711897666665	115175138	86.95	52440441	52.2512151954152	50.5	9.09090909090909	60463902	51.6839133942458	50.5	98.6536294333767	13.6363636363636	60309166	38.8	62.7071262032093	1	2	1	"B"	0.194115	0	0.085432	0	"c2"	"c2"	0	NA	"CML"	"c2"	62.7071262032105	"c1"	"c1"
"COHP_46928"	"mRNA"	"484"	"PBMC"	"1"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-01	2020-09-12	2021-02-10	1	21.4	10.4	11.4	237951072	237951072	0.346414674531216	0.105705183679503	0.586376	1.03	62562346	20.6627453227023	75.6690437376434	52456680	0.001693135	112765115	125185957	99.9510608046875	6.18991873026141	125185957	58.67	40670795	78.0226681678771	53.5	9.09090909090909	69453829	77.719113341657	54	98.899882956555	13.6363636363636	69323831	30.9	-24.2758750970152	0	2	1	"B"	0.206198	0	0.124444	0	"c2"	"c1"	0	NA	"CML"	"c2"	-24.2758750970152	"c1"	"c1"
"COHP_46929"	"mRNA"	"484"	"PBMC"	"2"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-08	2020-09-12	2021-02-10	2	21.4	10.4	12.4	211017467	211017467	0.212739661451358	0.0824463458315423	0.465969	1.08	62941040	30.5244664888334	68.9942034331784	46432153	0.001994303	85052143	125965324	99.933915146362	4.64223153984822	125965324	68.84	46326995	68.4646125250665	53	9.09090909090909	67471536	67.97141217196	53	98.5612574960479	13.6363636363636	67298629	59.2	-134.759868235852	1	2	1	"B"	0.686297	0.659892	0.318532	0	"c2"	"c2"	1	NA	"CML"	"c2"	-134.759868235851	"c2"	"c2"
"COHP_46930"	"mRNA"	"484"	"PBMC"	"3"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-15	2020-09-12	2021-02-10	3	21.4	10.4	13.4	175533854	175533854	0.371960025123516	0.0795068602202153	0.374606	1.07	63489278	43.5481157953724	57.7360170022413	39312637	0.002410481	48481653	127052201	99.9420356362028	2.15790988146675	127052201	77.27	52610619	60.8256856665259	52.5	9.09090909090909	68236836	60.2181126347063	52.5	98.5012132782404	13.6363636363636	68090317	54.2	-68.9234774134797	1	2	1	"B"	1.11969	1.576623	0.615447	0	"c2"	"c2"	1	NA	"CML"	"c2"	-68.9234774134796	"c2"	"c2"
"COHP_46931"	"mRNA"	"484"	"PBMC"	"4"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-22	2020-09-12	2021-02-10	4	21.4	10.4	14.4	177710733	177710733	0.293580746030005	0.110499081381416	0.476658	1.08	56163455	31.6201936998369	67.6444960524451	40691090	0.002199655	65340113	112370620	99.9611019321598	3.66531750025051	112370620	70.17	42207792	68.8910636719319	54	9.09090909090909	60281026	68.2578868129183	54	98.3533268139905	13.6363636363636	60154325	66	-131.321638961455	2	2	1	"B"	0.982131	0	0.442029	0	"c2"	"c3"	1	NA	"CML"	"c2"	-131.321638961455	"c2"	"c2"
"COHP_46932"	"mRNA"	"484"	"PBMC"	"5"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2020-12-29	2020-09-12	2021-02-10	5	21.4	10.4	15.4	187450670	187450670	0.643598329670793	0.0813025440601088	0.527868	1.09	50876144	24.3191747460812	73.097910634062	41293191	0.002699575	85627402	101823268	99.9302909822144	5.59452580131292	101823268	61.68	34845417	72.1907948179289	54.5	9.09090909090909	56663398	71.897707582094	55	98.9271708100839	9.09090909090909	56490248	71.4	-138.83430028691	2	2	1	"B"	2.100754	1.508784	1.110111	0	"c2"	"c3"	1	NA	"CML"	"c2"	-138.83430028691	"c2"	"c2"
"COHP_46933"	"mRNA"	"484"	"PBMC"	"6"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-01-05	2020-09-12	2021-02-10	6	21.4	10.4	16.4	213159578	213159578	1.10388980013553	0.0961862750779707	0.659742	1.08	45879139	13.7176730571309	79.7712139093329	41013753	0.002433463	121324721	91834857	99.9166122728323	9.6874784701848	91834857	48.61	24993996	80.0366295953681	55.5	18.1818181818182	51602949	79.7768561645518	55.5	98.7143234109111	22.7272727272727	51414227	69.7	-150.839020452257	2	3	1	"B"	1.410222	0.358167	0.725361	0	"c3"	"c3"	1	NA	"CML"	"c3"	-150.839020452257	"c2"	"c2"
"COHP_46934"	"mRNA"	"484"	"PBMC"	"7"	"CML.mRNA.2022"	"2022_A"	"TET_OFF_B"	"tTA+/-, BCR-ABL+/-"	"M"	2021-01-12	2020-09-12	2021-02-10	7	21.4	10.4	17.4	170792940	170792940	0.506077256684739	0.081962639500209	0.472907	1.06	50173212	29.577545769749	70.869845044468	38625911	0.002639828	70386820	100406120	99.9405454567909	4.56432735375095	100406120	66.56	36275145	67.8938571053763	53.5	9.09090909090909	54643535	67.6138210477654	53.5	98.9562106427062	13.6363636363636	54502604	81.5	-168.525117939382	2	3	1	"B"	3.613659	2.461466	1.7517	0	"c3"	"c3"	1	NA	"CML"	"c3"	-168.525117939381	"c2"	"c2"
