sample,PC1,PC2,assay,mouse_id,tissue,timepoint,project,batch,treatment,genotype,sex,sample_date,dob,dod,sample_weeks,age_at_end,age_at_start,age_at_sample,samtools.flagstat_total,samtools.mapped_passed,biotype_counts.percent_rRNA,dupradar.dupRadar_intercept,picard.PERCENT_DUPLICATION,qualimap.5_3_bias,qualimap.reads_aligned,rseqc.proper_pairs_percent,salmon.percent_mapped,salmon.num_mapped,samtools.error_rate,samtools.non_primary_alignments,samtools.reads_mapped,samtools.reads_properly_paired_percent,samtools.reads_MQ0_percent,samtools.raw_total_sequences,star.uniquely_mapped_percent,star.uniquely_mapped,fastqc_raw.percent_duplicates,fastqc_raw.percent_gc,fastqc_raw.percent_fails,fastqc_raw.total_sequences,fastqc_trimmed.percent_duplicates,fastqc_trimmed.percent_gc,fastqc_trimmed.avg_sequence_length,fastqc_trimmed.percent_fails,fastqc_trimmed.total_sequences,myeloid,CML_space,myeloid_class,state_class,time_class,Group,HSA_ABL1_gene,HSA_BCR_ABL1_gene,HSA_BCR_gene,HSA_MYH11_gene,state_chr,myeloid_chr,old.state_class,rx_class,state_rx,group_name
COHP_44950,0.055872064,0.048070387,mRNA,480,PBMC,10,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,2/2/21,9/12/20,3/30/21,10,28.4,10.4,20.4,116479676,116479676,0.170527091,0.084755559,0.44676,1.04,34775701,31.33724719,72.8038747,29862472,0.003441128,46649627,69830049,99.60096405,4.730665447,69830049,64.14,26307259,63.94350887,53,18.18181818,41681466,63.68474403,52.5,97.99125711,18.18181818,41017696,42.5,-76.80260691,1,1,1,B,12.741833,12.361609,5.873582,0,c2,c2,1,NA,c2,CML
COHP_44951,0.082339841,-0.009216964,mRNA,480,PBMC,11,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,2/9/21,9/12/20,3/30/21,11,28.4,10.4,21.4,121887335,121887335,0.243812146,0.075820468,0.450314,1.08,37341886,31.93162932,71.03684669,30542153,0.003700108,47059822,74827513,99.80790354,4.308864308,74827513,65.52,28168779,65.33155555,54,13.63636364,43468272,64.65485144,54,97.66773462,13.63636364,42994804,50.3,-82.09415012,1,1,1,B,14.601637,24.2566,6.867666,0,c2,c2,1,NA,c2,CML
COHP_44952,-0.056115355,0.043183921,mRNA,480,PBMC,12,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,2/16/21,9/12/20,3/30/21,12,28.4,10.4,22.4,147905807,147905807,0.448177505,0.069122119,0.57096,1.05,36726917,19.87399183,70.10099669,34076377,0.002979323,74324397,73581410,99.82661925,7.40230175,73581410,46.48,22594030,75.45147754,57.5,27.27272727,49435962,75.31828758,58.5,97.97910657,27.27272727,48610403,48.2,-70.1368522,1,1,1,B,4.602832,7.454157,2.132732,0,c2,c2,1,NA,c2,CML
COHP_44953,0.021303378,0.090547234,mRNA,480,PBMC,13,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,2/23/21,9/12/20,3/30/21,13,28.4,10.4,23.4,143539576,143539576,0.228263609,0.075516341,0.495216,1.03,41298854,27.47263375,77.91549536,37783657,0.003355686,60757418,82782158,99.77718629,5.418407913,82782158,62.21,30168502,70.69586018,54,13.63636364,49123075,70.30439538,54.5,98.15060109,18.18181818,48493123,50,-85.03416216,1,1,1,B,26.869646,24.711301,12.419801,0,c2,c2,1,NA,c2,CML
COHP_44954,-0.053655655,0.054733148,mRNA,480,PBMC,14,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,3/2/21,9/12/20,3/30/21,14,28.4,10.4,24.4,139776717,139776717,0.114360991,0.078960654,0.548264,1.06,39239051,23.88434549,82.61826836,37277095,0.003120819,61034279,78742438,99.664303,5.189413871,78742438,58.15,26236727,73.74803956,54,22.72727273,45969281,73.45581849,54,97.8466657,22.72727273,45119676,57.9,-52.72916226,1,1,1,B,19.584602,15.575913,9.159301,0,c2,c2,1,NA,c2,CML
COHP_44955,0.117634825,0.092581717,mRNA,480,PBMC,15,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,3/9/21,9/12/20,3/30/21,15,28.4,10.4,25.4,127950530,127950530,0.21643679,0.069042803,0.4145,1.06,44390546,38.68214223,72.53997038,37451147,0.003536909,38997706,88952824,99.80694036,2.534473779,88952824,68.87,35558681,66.37734475,54,9.090909091,52092250,65.59684094,54,97.72390031,9.090909091,51628291,70.9,-125.5771616,2,2,2,B,26.157401,29.844325,12.206279,0,c3,c3,2,NA,c3,CML
COHP_44956,0.133362941,0.068950558,mRNA,480,PBMC,16,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,3/16/21,9/12/20,3/30/21,16,28.4,10.4,26.4,93905887,93905887,1.147960841,0.203845581,0.538947,1.13,35333702,32.9637438,62.23911876,27276305,0.004961955,23039035,70866852,99.71855953,1.311352168,70866852,66.6,29188199,70.97407555,57.5,13.63636364,44334298,71.05159423,57.5,98.88362494,18.18181818,43825018,72.1,-129.6123745,2,2,2,B,31.80883,27.431863,14.176481,0,c3,c3,2,NA,c3,CML
COHP_44957,0.035765551,0.106752315,mRNA,480,PBMC,17,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,3/23/21,9/12/20,3/30/21,17,28.4,10.4,27.4,109823449,109823449,1.076771056,0.086016805,0.479536,1.09,36379048,32.6686462,71.37210532,32080386,0.003842149,36907649,72915800,99.78371766,2.719575181,72915800,61.58,27678674,71.01873363,56.5,22.72727273,45433465,70.62452601,56.5,98.23297217,22.72727273,44948073,75.7,-133.2915739,2,2,2,B,30.506404,26.164286,16.264615,0,c3,c3,2,NA,c3,CML
COHP_44958,0.17480369,0.073051113,mRNA,480,PBMC,18,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",M,3/30/21,9/12/20,3/30/21,18,28.4,10.4,28.4,87874775,87874775,0.278576344,0.062319223,0.331806,1.07,35950428,52.42730693,63.47437666,27286737,0.00417917,15803075,72071700,99.76295273,1.008553982,72071700,74.24,31913815,58.69964886,53.5,13.63636364,43407956,58.19544991,53.5,98.14483859,13.63636364,42988586,72.5,-158.5656522,2,2,2,B,38.49854,49.698313,18.615766,0,c3,c3,2,NA,c3,CML
COHP_44959,0.100827586,-0.084405431,mRNA,489,PBMC,0,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,11/24/20,9/18/20,NA,0,27.6,9.6,9.6,106677156,106677156,0.161466853,0.072722137,0.279522,1.11,43762971,57.05990137,50.53191526,24175916,0.003476338,19052311,87624845,99.88712904,0.845801211,87624845,81.59,39036695,48.6137268,51,4.545454545,48316332,48.15049848,51.5,98.58363231,4.545454545,47842865,NA,27.26623122,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44960,-0.073320372,0.01906831,mRNA,489,PBMC,1,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,12/1/20,9/18/20,NA,1,27.6,9.6,10.6,198074559,198074559,0.152545562,0.058857891,0.694148,1.05,37188603,10.60740769,84.69435218,35806681,0.002698267,123636704,74437855,99.91852398,12.60543711,74437855,41.94,17731111,80.85616297,54,31.81818182,42473987,80.60437987,54,98.53603322,36.36363636,42277531,NA,115.9343032,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44961,-0.086525981,-0.010663813,mRNA,489,PBMC,2,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,12/8/20,9/18/20,NA,2,27.6,9.6,11.6,145783831,145783831,0.21043623,0.064662201,0.528302,1.08,33741855,20.64441015,69.82364627,27661932,0.003532361,78108506,67675325,99.71686135,8.512523582,67675325,54.92,21758469,65.37313244,54,22.72727273,40189091,65.25901224,54,98.26866353,27.27272727,39616854,NA,70.03184197,NA,NA,NA,C,0.003655,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44962,0.03508535,-0.114514894,mRNA,489,PBMC,3,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,12/15/20,9/18/20,NA,3,27.6,9.6,12.6,107195656,107195656,0.240495751,0.061671929,0.364896,1.07,36525245,41.48324257,54.27053905,23223912,0.003763961,34062174,73133482,99.88651983,2.640175125,73133482,68.41,29276682,55.03764764,53,9.090909091,43076392,54.76303291,53,98.70173393,13.63636364,42792853,NA,43.62641485,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44963,0.006275319,-0.153685012,mRNA,489,PBMC,4,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,12/22/20,9/18/20,NA,4,27.6,9.6,13.6,90699235,90699235,0.33089667,0.053545222,0.360404,1.06,32307633,43.64404838,52.50955181,18983009,0.004036243,26033291,64665944,99.92163108,1.99871512,64665944,72.64,26259669,53.06243471,53.5,9.090909091,36355089,52.52984935,53.5,98.28962585,13.63636364,36151535,NA,46.32164644,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44964,-0.093861787,-0.011298698,mRNA,489,PBMC,5,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,12/29/20,9/18/20,NA,5,27.6,9.6,14.6,146262018,146262018,0.270238805,0.050515842,0.462089,1.08,36832502,25.82946039,64.94476355,26987966,0.003125546,72500145,73761873,99.86867335,7.238768191,73761873,60.09,24969812,60.40302738,53,13.63636364,41811461,60.18166736,53,98.59462639,18.18181818,41555261,NA,69.40905422,NA,NA,NA,C,0.007266,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44965,-0.079294809,0.009430581,mRNA,489,PBMC,6,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,1/5/21,9/18/20,NA,6,27.6,9.6,15.6,148568277,148568277,0.151278313,0.067807674,0.563925,1.06,33472677,18.55014446,72.26615715,27867058,0.003268573,81439887,67128390,99.72733444,8.877501754,67128390,51.47,19846085,67.32210516,54,22.72727273,39066052,67.39945209,54,98.69766433,22.72727273,38561699,NA,81.43715378,NA,NA,NA,C,0,0,0.002617,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44966,-0.075540275,0.028765551,mRNA,489,PBMC,7,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,1/12/21,9/18/20,NA,7,27.6,9.6,16.6,241010161,241010161,0.136337655,0.108499178,0.655178,1.08,51501936,13.86126953,79.52118191,44839317,0.002873308,137935145,103075016,99.93097842,9.814209488,103075016,50.18,28296894,76.76848836,54.5,27.27272727,56598143,76.54837784,55,98.70352849,36.36363636,56386633,NA,86.26571669,NA,NA,NA,C,0,0,0.001589,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44967,-0.076918472,0.018409341,mRNA,489,PBMC,8,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,1/19/21,9/18/20,NA,8,27.6,9.6,17.6,222786399,222786399,0.219480432,0.074245249,0.653592,1.1,46792897,13.65943708,76.35308165,39992592,0.002968238,129124241,93662158,99.91846867,10.448162,93662158,47.43,24845178,76.24939741,55.5,22.72727273,52653709,75.75041533,56,97.5467816,27.27272727,52378491,NA,77.84446583,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44968,-0.077383082,0.021066357,mRNA,489,PBMC,9,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,1/26/21,9/18/20,NA,9,27.6,9.6,18.6,168183860,168183860,0.188879203,0.074937282,0.612344,1.15,39165778,16.98831862,75.20239424,32830643,0.003114612,89773389,78410471,99.89935655,8.003047195,78410471,51.94,22675424,73.5477121,55,18.18181818,43920306,73.33383955,55.5,98.72088254,18.18181818,43656380,NA,89.07630717,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44969,-0.085588358,-0.000685574,mRNA,489,PBMC,10,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,2/2/21,9/18/20,NA,10,27.6,9.6,19.6,159212408,159212408,0.139238819,0.057452332,0.526229,1.08,36656325,20.63882986,72.48179068,30551464,0.003208155,85771318,73441090,99.82511153,8.606022868,73441090,55.25,23286299,66.33522991,53,22.72727273,42480601,66.20963557,53.5,98.61207998,18.18181818,42150537,NA,80.19757069,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44970,-0.088483263,-0.025152364,mRNA,489,PBMC,11,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,2/9/21,9/18/20,NA,11,27.6,9.6,20.6,137042542,137042542,0.257304064,0.059981252,0.464482,1.09,38918650,29.003509,65.45508739,28420650,0.003454903,59111297,77931245,99.87945143,5.238015895,77931245,63.04,27370832,61.54157462,53.5,9.090909091,43676711,61.38402598,54,98.82137814,13.63636364,43420078,NA,45.39402081,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44971,-0.074468054,0.024731881,mRNA,489,PBMC,12,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,2/16/21,9/18/20,NA,12,27.6,9.6,21.6,157329662,157329662,0.287236203,0.062917066,0.551448,1.13,40547519,21.86772257,71.22658414,32088386,0.003383489,76166042,81163620,99.91550155,6.332578562,81163620,56.9,25634153,69.52513564,55,18.18181818,45246619,69.22553252,55,98.61452154,22.72727273,45051137,NA,67.64855551,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44972,-0.085250041,-0.006605687,mRNA,489,PBMC,13,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,2/23/21,9/18/20,NA,13,27.6,9.6,22.6,122872525,122872525,0.863701075,0.051581839,0.482999,1.04,33538700,26.74679632,66.21128425,25442942,0.003772764,55669857,67202668,99.81359669,5.470366147,67202668,59.5,22864063,62.96508177,54,9.090909091,38881946,62.6618711,54,98.34980777,9.090909091,38426897,NA,61.11180191,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44973,-0.07364,0.009030306,mRNA,489,PBMC,14,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,3/2/21,9/18/20,NA,14,27.6,9.6,23.6,123378399,123378399,0.787316431,0.082917349,0.505526,1.05,34416422,26.12981386,69.35798866,26830178,0.003533015,54440934,68937465,99.84823782,5.28346669,68937465,61.01,23600110,65.57137075,54,13.63636364,39134150,65.46246021,54,98.69405391,13.63636364,38683616,NA,58.90028409,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44974,-0.066607511,0.033602593,mRNA,489,PBMC,15,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,3/9/21,9/18/20,NA,15,27.6,9.6,24.6,141635899,141635899,0.539262083,0.173187014,0.580297,1.08,42904562,24.07802417,63.24822624,30652917,0.003806148,55746019,85889880,99.90597728,3.158127593,85889880,61.98,30036171,69.62175799,56,18.18181818,49116978,69.42415913,56,98.30642393,18.18181818,48464469,NA,38.1207549,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44975,-0.071481863,-0.009644821,mRNA,489,PBMC,16,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,3/16/21,9/18/20,NA,16,27.6,9.6,25.6,100816652,100816652,0.761062661,0.075592637,0.47802,1.11,31409339,30.79482147,66.76881136,23018298,0.003586196,37962024,62854628,99.94280453,2.791641691,62854628,65.07,22432611,63.93358558,55,13.63636364,34623951,63.36568877,55,98.20585305,13.63636364,34474626,NA,46.69044568,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44976,-0.076098593,0.019771423,mRNA,489,PBMC,17,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,3/23/21,9/18/20,NA,17,27.6,9.6,26.6,153508544,153508544,1.24665003,0.056385953,0.568241,1.15,36822476,19.48258072,72.87095252,30068994,0.00342806,79801339,73707205,99.91554014,7.901679354,73707205,54.4,22446969,70.35985294,55,18.18181818,41522453,69.93700283,55,98.34309413,22.72727273,41263347,NA,64.27513792,NA,NA,NA,C,0,0,0,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44977,-0.070173497,0.042996222,mRNA,489,PBMC,18,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",F,3/30/21,9/18/20,NA,18,27.6,9.6,27.6,226944674,226944674,1.017343702,0.097148722,0.627399,1.11,51042509,15.76928745,76.16632186,43970484,0.003321533,124711303,102233371,99.85488789,8.855699378,102233371,51.68,29834981,74.61856758,55,22.72727273,58162755,74.4625555,55,98.52824579,22.72727273,57729562,NA,64.92772517,NA,NA,NA,C,0.014245,0,0.009981,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44978,0.073147934,-0.121224475,mRNA,490,PBMC,0,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,12/15/20,10/2/20,NA,0,28.6,10.6,10.6,99974986,99974986,0.901505738,0.047715696,0.296935,1.08,37359209,50.48269374,52.94198108,22669553,0.003969046,25130083,74844903,99.83100386,2.038063968,74844903,74.27,31804247,49.53408528,52,4.545454545,43253558,49.22664145,52,98.62873887,9.090909091,42819616,NA,12.0503373,NA,NA,NA,C,0.140093,0,0.066068,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44979,-0.009227479,-0.168648818,mRNA,490,PBMC,1,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,12/22/20,10/2/20,NA,1,28.6,10.6,11.6,115613938,115613938,0.651384027,0.057864411,0.366298,1.05,35474977,37.25365708,56.4832125,23783937,0.00368538,44418427,71195511,99.65509483,4.540699202,71195511,66.57,28032068,52.43611465,52,9.090909091,42669049,52.31040607,52,98.41976267,9.090909091,42107975,NA,41.50671067,NA,NA,NA,C,0.07396,0,0.064236,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44980,0.035201023,-0.169630726,mRNA,490,PBMC,2,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,12/29/20,10/2/20,NA,2,28.6,10.6,12.6,108066547,108066547,0.860451245,0.057440923,0.320342,1.03,36551762,44.0967083,49.7775504,21667091,0.003896328,34732152,73334395,99.68518047,3.325690489,73334395,69.79,30379358,48.96400017,51.5,9.090909091,44101878,48.48175925,51.5,97.86249631,9.090909091,43527837,NA,21.11914915,NA,NA,NA,C,0.100072,0,0.081233,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44981,-0.078489103,0.005272725,mRNA,490,PBMC,3,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,1/5/21,10/2/20,NA,3,28.6,10.6,13.6,142914338,142914338,0.693235558,0.079311901,0.589829,1.04,31122361,16.73026677,73.67907579,27657622,0.003390871,80375311,62539027,99.52940585,9.748151342,62539027,48.46,18189212,69.03831607,54.5,31.81818182,38563038,69.28051706,54.5,98.2018314,31.81818182,37537960,NA,79.13191338,NA,NA,NA,C,0.030531,0,0.012479,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44982,-0.042985224,0.032603249,mRNA,490,PBMC,4,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,1/12/21,10/2/20,NA,4,28.6,10.6,14.6,119464619,119464619,0.339333992,0.057809042,0.381522,1.03,33422223,33.11818874,63.32366548,24628351,0.003096915,52403645,67060974,99.67711772,5.459762633,67060974,64.59,25119675,54.7496946,51,22.72727273,39399257,54.65122587,51,98.51320225,22.72727273,38892807,NA,12.12023586,NA,NA,NA,C,0.041308,0,0.026261,0,Ctrl,NA,NA,NA,Ctrl,Control
